covariate,coef,p,significant,coef_stratified,p_stratified,significant_stratified,equal
sex,-0.11694699412625549,0.0866929482301882,False,-0.05696662041967703,0.4098522875900069,False,True
Component 0,0.6834174653302441,1.598168251446808e-66,True,0.17644497735743364,0.0028093392347016033,True,True
Component 1,-0.043250607420462835,0.06104864559823793,False,-0.07326250439314277,0.0014971592016560893,True,True
Component 2,-0.2484565758924265,4.406190333326176e-26,True,-0.2191528431337729,1.737607343740439e-20,True,True
Component 3,0.22213364244234537,2.3169861138492585e-20,True,0.15565317548379676,9.49456130700195e-10,True,True
Component 4,0.17310385033764913,6.606211776611904e-14,True,0.13893810185694186,3.9069029648963155e-09,True,True
Component 5,-0.032289981972586757,0.11686853928492473,False,-0.013200047553581312,0.5250055654355766,False,True
Component 6,-0.0832974451902931,0.00012164375345905124,True,-0.09144492403763863,2.8438339821539497e-05,True,True
Component 7,-0.03581042696021895,0.10964773484316881,False,0.0492089823340845,0.037285977603908,False,False
Component 8,0.07637527549114999,0.00029025565525285697,True,0.07102527037496606,0.0007926605556066584,True,True
Component 9,0.028331208466506264,0.16385166522261535,False,0.006213968784046781,0.7656877327490785,False,True
Component 10,0.05065921310620011,0.02393669635846083,False,0.045178907882348567,0.04893853003734366,False,True
Component 11,0.08171450152825843,5.7386359357475156e-05,True,0.07865152376735937,0.00012543318692025484,True,True
Component 12,-0.08955363090185009,3.5020785137640985e-05,True,-0.1012378177699842,2.783596227250245e-06,True,True
Component 13,-0.06349153793399297,0.002845838490775597,True,-0.09684742331130569,1.1333149786239437e-05,True,True
Component 14,0.08821104702378557,6.834773922493424e-05,True,0.067279741523492,0.0026122770833203308,True,True
Component 15,-0.08064809248050091,0.00019387108019730534,True,-0.10215611599765057,1.9111612184760754e-06,True,True
Component 16,-0.07124915687417958,0.001084325692121725,True,-0.05277755813341693,0.016475532571780565,True,True
Component 17,-0.08727904444142205,6.437560087449955e-05,True,-0.0709639533688072,0.0013622120329760425,True,True
Component 18,-0.0644787799684075,0.0019814226101785054,True,-0.10482395361074731,9.7014155946166e-07,True,True
Component 19,-0.02185374872792987,0.3157368302030073,False,-0.03183769773676484,0.15226234869805222,False,True
Component 20,0.01554413524486834,0.491985020826442,False,0.0014762596990957303,0.9491738621319896,False,True
Component 21,-0.01796640588700968,0.48372654341137034,False,-0.023326103439824688,0.37374237499383833,False,True
Component 22,-0.0671468564410437,0.00805241809447554,True,-0.10362922011388198,6.99415216428045e-05,True,True
Component 23,0.04860118719881587,0.018369137712484766,True,0.03863881015050893,0.06750066925653904,False,True
Component 24,-0.10619738830953403,4.030948371820319e-06,True,-0.09175284825315998,0.0001021408663266472,True,True
Component 25,0.057209298555020646,0.017272044872714023,True,0.0841222932876238,0.0005752531457332675,True,True
Component 26,-0.11036737081185306,1.4014038554845196e-07,True,-0.10746551187154003,3.6281408812579917e-07,True,True
Component 27,0.019497419094720445,0.3677570290925565,False,0.06172957655054513,0.0055471364279352595,True,True
Component 28,0.013294445166207775,0.545916139394216,False,0.0264720194222029,0.2287938588361037,False,True
Component 29,-0.07461839194334415,0.00040254146989204516,True,-0.07797958953333396,0.00027974089862970147,True,True
Component 30,-0.10436296766999133,3.4355980823074693e-08,True,-0.15970902111847468,1.7169682756377087e-15,True,True
Component 31,0.0035017607778085897,0.8585731247492919,False,0.009989322816011713,0.6169266971717109,False,True
Component 32,0.03962833109610436,0.06073860051045501,False,0.04712966760135633,0.028751349384855216,False,True
Component 33,-0.06346799898660609,0.0031961698761304607,True,-0.07537212659843219,0.0005708513619936391,True,True
Component 34,0.040108162279678075,0.05915473999058402,False,0.07073259173881584,0.001218924158523519,True,True
Component 35,-0.023666070198709185,0.3157013757891932,False,0.006299691780091705,0.7918625227280643,False,False
Component 36,0.023388984808817573,0.23337701974733185,False,0.05270114345669866,0.007315176562226864,True,True
Component 37,-0.08981426735967417,1.8186588946202396e-05,True,-0.09792236771856164,5.413535520003418e-06,True,True
Component 38,0.07514395457151092,0.000793164722360866,True,0.07300356042236499,0.0012716462956934749,True,True
Component 39,-0.021951574009640974,0.266823312642558,False,-0.03636003601668195,0.06997382992928892,False,True
Component 40,0.0517613166907346,0.010165566845233804,True,0.08443209604980043,3.623013830535562e-05,True,True
Component 41,-0.03361245282077945,0.15878816949348543,False,-0.04218742527838275,0.07973559088527706,False,True
Component 42,-0.11597107088983069,1.8683694488458833e-07,True,-0.14324653296439022,2.8302275855780875e-10,True,True
Component 43,0.04230355608872256,0.04384612653836694,False,0.0346940763473917,0.1042923878819402,False,True
Component 44,0.05799164233758592,0.00875343331274474,True,0.03773620784323024,0.09997380312403867,False,True
Component 45,0.03217106797413912,0.15696650003300394,False,0.02430824301813334,0.28732278479564244,False,True
Component 46,0.004785248219554431,0.8101492035691653,False,-0.017023632699939287,0.39921704533595515,False,False
Component 47,0.08706251221779504,2.2361456072199634e-05,True,0.06664111317856027,0.0012569886146719265,True,True
Component 48,0.03445010726764571,0.06711939112865381,False,0.04947827517645449,0.008705647506748883,True,True
Component 49,0.027564689445714025,0.15877421393158037,False,0.05222950848166991,0.00901828512851174,True,True
Component 50,0.0007097172542257209,0.9689551415841898,False,-0.023784126290116916,0.19591890065153064,False,False
Component 51,0.06536598905818908,0.0036262475599292926,True,0.058609219339540504,0.009899808285225813,True,True
Component 52,0.008090264968164907,0.6913317390245054,False,0.016529761484481344,0.4238700061460634,False,True
Component 53,-0.004863093247110353,0.8054957681820861,False,-0.0015060427929345023,0.940507271659432,False,True
Component 54,0.032349447161768005,0.204475130142591,False,0.046510841559990294,0.0706737367658775,False,True
Component 55,0.033293066210970716,0.08207373316100043,False,0.029805031859338242,0.12072452578565596,False,True
Component 56,0.028405214817260025,0.20674299157989073,False,0.037091768961956,0.10388106943936345,False,True
Component 57,-0.03021694333420071,0.1470421959585119,False,-0.041071119278934635,0.051973158162084504,False,True
Component 58,-0.10991395348757384,2.180470536812878e-08,True,-0.11769006014774434,4.087908002302549e-09,True,True
Component 59,0.03523172437359377,0.05023262191534202,False,0.06130125081834068,0.0007212261682888296,True,True
Component 60,-0.01733899425394108,0.41237367028424243,False,-0.02858205144852003,0.17343837594610817,False,True
Component 61,0.011016893000389582,0.5543988006515967,False,0.011104958965233665,0.5554019068107097,False,True
Component 62,0.06662606112969428,0.0008238746071525068,True,0.04579164825118341,0.02263608192437594,True,True
Component 63,0.018813276047294405,0.3361716723797583,False,0.05476234047458474,0.0061254836165512494,True,True
